,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,Location,NewConfirmedCases,Latitude,Longitude,Population,Weight
1949,2750,,Benin,2020-04-05,22.0,0.0,Benin,6.0,9.5293472,2.2584408,12123200,4.94918833311337e-07
2024,2857,,Bhutan,2020-04-05,5.0,0.0,Bhutan,0.0,27.549511,90.5119273,771608,0.0
2099,2964,,Bolivia,2020-04-05,157.0,10.0,Bolivia,18.0,-17.0568696,-64.9912286,11673021,1.5420172721354651e-06
2174,3071,,Bosnia and Herzegovina,2020-04-05,654.0,23.0,Bosnia and Herzegovina,30.0,44.3053476,17.5961467,3280819,9.144058236678098e-06
2249,3178,,Botswana,2020-04-05,6.0,1.0,Botswana,2.0,-23.1681782,24.5928742,2292000,8.726003490401396e-07
2324,3285,,Brazil,2020-04-05,11130.0,486.0,Brazil,770.0,-10.3333333,-53.2,212559417,3.6225165220508673e-06
1049,1466,Tasmania,Australia,2020-04-05,82.0,2.0,Tasmania Australia,2.0,-42.14220555,146.6723517878467,515000,3.883495145631068e-06
1124,1573,Victoria,Australia,2020-04-05,1135.0,8.0,Victoria Australia,20.0,-36.5986096,144.6780052,6359000,3.1451486082717408e-06
1274,1787,,Austria,2020-04-05,12051.0,204.0,Austria,270.0,47.2000338,13.199959,9006398,2.9978688483453652e-05
4274,6067,Chongqing,China,2020-04-05,579.0,6.0,Chongqing China,0.0,29.5585712,106.5492822,30480000,0.0
4199,5960,Beijing,China,2020-04-05,586.0,8.0,Beijing China,1.0,39.906217,116.3912757,21540000,4.6425255338904366e-08
4049,5746,,Chile,2020-04-05,4471.0,34.0,Chile,310.0,-31.7613365,-71.3187697,19116201,1.62166112398588e-05
2924,4141,,Cameroon,2020-04-05,650.0,9.0,Cameroon,95.0,4.6125522,13.1535811,26545863,3.578712057694263e-06
2999,4248,Alberta,Canada,2020-04-05,1181.0,20.0,Alberta Canada,106.0,55.001251,-115.002136,4371000,2.4250743536948065e-05
3074,4355,British Columbia,Canada,2020-04-05,1203.0,38.0,British Columbia Canada,0.0,55.001251,-125.002441,5071000,0.0
3149,4462,Manitoba,Canada,2020-04-05,203.0,2.0,Manitoba Canada,21.0,55.001251,-97.001038,1369000,1.5339663988312636e-05
3224,4569,New Brunswick,Canada,2020-04-05,98.0,0.0,New Brunswick Canada,7.0,46.500283,-66.750183,776827,9.011015322587912e-06
3299,4676,Newfoundland and Labrador,Canada,2020-04-05,217.0,1.0,Newfoundland and Labrador Canada,22.0,53.8217327,-61.2295532,521542,4.218260466079434e-05
3374,4783,Northwest Territories,Canada,2020-04-05,4.0,0.0,Northwest Territories Canada,0.0,65.0000004,-118.0,44826,0.0
3449,4890,Nova Scotia,Canada,2020-04-05,262.0,0.0,Nova Scotia Canada,26.0,45.1960403,-63.1653789,971395,2.676563087106687e-05
3524,4997,Ontario,Canada,2020-04-05,4354.0,119.0,Ontario Canada,724.0,50.000678,-86.000977,14570000,4.969114619080302e-05
3599,5104,Prince Edward Island,Canada,2020-04-05,22.0,0.0,Prince Edward Island Canada,0.0,46.503545349999996,-63.595517139914485,156947,0.0
3674,5211,Quebec,Canada,2020-04-05,7944.0,75.0,Quebec Canada,1843.0,52.4760892,-71.8258668,8485000,0.00021720683559222156
3749,5318,Saskatchewan,Canada,2020-04-05,249.0,3.0,Saskatchewan Canada,29.0,55.5321257,-106.1412243,1174000,2.4701873935264054e-05
3824,5425,Yukon,Canada,2020-04-05,6.0,0.0,Yukon Canada,0.0,63.000147,-136.002502,40854,0.0
2774,3927,,Cabo Verde,2020-04-05,7.0,1.0,Cabo Verde,0.0,16.0000552,-24.0083947,546388,0.0
5399,7672,Jiangxi,China,2020-04-05,937.0,1.0,Jiangxi China,0.0,28.0,116.0,45200000,0.0
11099,15804,,Japan,2020-04-05,3139.0,77.0,Japan,0.0,36.5748441,139.2394179,126476461,0.0
5324,7565,Jiangsu,China,2020-04-05,651.0,0.0,Jiangsu China,0.0,33.0000001,119.9999999,80400000,0.0
2699,3820,,Burundi,2020-04-05,3.0,0.0,Burundi,0.0,-3.3634357,29.8870575,10860000,0.0
2849,4034,,Cambodia,2020-04-05,114.0,0.0,Cambodia,0.0,13.5066394,104.869423,16718965,0.0
4349,6174,Fujian,China,2020-04-05,350.0,1.0,Fujian China,0.0,26.5450001,117.842778,38560000,0.0
4424,6281,Gansu,China,2020-04-05,138.0,2.0,Gansu China,0.0,38.0000001,101.9999999,25580000,0.0
4499,6388,Guangdong,China,2020-04-05,1524.0,8.0,Guangdong China,8.0,23.1357694,113.1982688,113460000,7.050943063634761e-08
4574,6495,Guangxi,China,2020-04-05,254.0,2.0,Guangxi China,0.0,24.0,109.0,48380000,0.0
4649,6602,Guizhou,China,2020-04-05,146.0,2.0,Guizhou China,0.0,27.0,107.0,34750000,0.0
4724,6709,Hainan,China,2020-04-05,168.0,6.0,Hainan China,0.0,19.2000001,109.5999999,9258000,0.0
4799,6816,Hebei,China,2020-04-05,327.0,6.0,Hebei China,1.0,39.0000001,116.0,74700000,1.3386880856760375e-08
4874,6923,Heilongjiang,China,2020-04-05,504.0,13.0,Heilongjiang China,13.0,48.0000047,127.999992,38310000,3.3933698773166277e-07
4949,7030,Henan,China,2020-04-05,1276.0,22.0,Henan China,0.0,34.0000001,113.9999999,94000000,0.0
5024,7137,Hong Kong,China,2020-04-05,890.0,4.0,Hong Kong China,28.0,22.2793278,114.1628131,7392000,3.787878787878788e-06
5099,7244,Hubei,China,2020-04-05,67803.0,3210.0,Hubei China,0.0,31.15172525,112.87832224656043,58500000,0.0
5174,7351,Hunan,China,2020-04-05,1019.0,4.0,Hunan China,0.0,39.144002,-76.8977145,67370000,0.0
5249,7458,Inner Mongolia,China,2020-04-05,117.0,1.0,Inner Mongolia China,0.0,43.2443242,114.3251664,24710000,0.0
9599,13664,,Ghana,2020-04-05,214.0,5.0,Ghana,9.0,8.0300284,-1.0800271,31072940,2.8964108320615946e-07
9449,13450,,Georgia,2020-04-05,174.0,2.0,Georgia,12.0,32.3293809,-83.1137366,3989167,3.0081468136079536e-06
3974,5639,,Chad,2020-04-05,9.0,0.0,Chad,0.0,15.6134137,19.0156172,14900000,0.0
5924,8421,Shandong,China,2020-04-05,779.0,7.0,Shandong China,1.0,36.0000001,118.9999999,90000000,1.1111111111111112e-08
8174,11631,,Estonia,2020-04-05,1097.0,15.0,Estonia,58.0,58.7523778,25.3319078,1326535,4.3722932301070084e-05
7724,10989,,Dominican Republic,2020-04-05,1745.0,82.0,Dominican Republic,257.0,19.0974031,-70.3028026,10847910,2.369119950294573e-05
7049,10026,,Cuba,2020-04-05,320.0,8.0,Cuba,32.0,23.0131338,-80.8328748,11326616,2.8252039267509376e-06
6974,9919,,Croatia,2020-04-05,1182.0,15.0,Croatia,56.0,45.5643442,17.0118954,4105267,1.3641012874436669e-05
6899,9812,,Cote d'Ivoire,2020-04-05,261.0,3.0,Cote d'Ivoire,16.0,7.9897371,-5.5679458,26378274,6.065597771863314e-07
5774,8207,Qinghai,China,2020-04-05,18.0,0.0,Qinghai China,0.0,35.40709525,95.95211573241954,5627000,0.0
5849,8314,Shaanxi,China,2020-04-05,256.0,3.0,Shaanxi China,0.0,36.0,109.0,37330000,0.0
5999,8528,Shanghai,China,2020-04-05,531.0,6.0,Shanghai China,2.0,31.2322758,121.4692071,24240000,8.25082508250825e-08
9374,13343,,Gambia,2020-04-05,4.0,1.0,Gambia,0.0,13.470062,-15.4900464,2416668,0.0
6074,8635,Shanxi,China,2020-04-05,138.0,0.0,Shanxi China,1.0,37.0,112.0,36500000,2.7397260273972602e-08
6149,8742,Sichuan,China,2020-04-05,558.0,3.0,Sichuan China,1.0,30.5000001,102.4999999,81100000,1.2330456226880394e-08
6224,8849,Tianjin,China,2020-04-05,180.0,3.0,Tianjin China,0.0,39.1235635,117.1980785,15000000,0.0
6299,8956,Tibet,China,2020-04-05,1.0,0.0,Tibet China,0.0,31.894343149999997,87.07813712706509,3180000,0.0
6374,9063,Xinjiang,China,2020-04-05,76.0,3.0,Xinjiang China,0.0,41.7574769,87.16738423046897,21810000,0.0
6449,9170,Yunnan,China,2020-04-05,184.0,2.0,Yunnan China,0.0,25.0,102.0,45970000,0.0
6524,9277,Zhejiang,China,2020-04-05,1263.0,1.0,Zhejiang China,1.0,29.0000001,119.9999999,57370000,1.743071291615827e-08
8099,11524,,Eritrea,2020-04-05,29.0,0.0,Eritrea,0.0,15.9500319,37.9999668,4475000,0.0
8024,11417,,Equatorial Guinea,2020-04-05,16.0,0.0,Equatorial Guinea,0.0,1.613172,10.5170357,1402985,0.0
7949,11310,,El Salvador,2020-04-05,62.0,3.0,El Salvador,6.0,13.8000382,-88.9140683,6378000,9.407337723424271e-07
7874,11203,,Egypt,2020-04-05,1173.0,78.0,Egypt,103.0,26.2540493,29.2675469,102334404,1.0065041273900418e-06
22724,32389,,Vietnam,2020-04-05,241.0,0.0,Vietnam,1.0,13.2904027,108.4265113,97338579,1.0273418928788759e-08
22649,32282,,Venezuela,2020-04-05,159.0,7.0,Venezuela,4.0,8.0018709,-66.1109318,28435940,1.4066705725219564e-07
22799,32496,,West Bank and Gaza,2020-04-05,237.0,1.0,West Bank and Gaza,20.0,31.4331663,34.3779285,4685000,4.268943436499466e-06
22874,32603,,Zambia,2020-04-05,39.0,1.0,Zambia,0.0,-14.5186239,27.5599164,18383955,0.0
11474,16339,,Kosovo,2020-04-05,145.0,1.0,Kosovo,10.0,42.5869578,20.9021231,1810463,5.523448974102205e-06
22499,32068,,Uruguay,2020-04-05,400.0,5.0,Uruguay,0.0,-32.8755548,-56.0201525,3473730,0.0
7199,10240,,Czechia,2020-04-05,4587.0,67.0,Czechia,115.0,49.8167003,15.4749544,10708981,1.073865011059409e-05
7274,10347,Faroe Islands,Denmark,2020-04-05,181.0,0.0,Faroe Islands Denmark,0.0,54.95007595,11.990187202288263,49290,0.0
7349,10454,Greenland,Denmark,2020-04-05,11.0,0.0,Greenland Denmark,0.0,71.8311379,-38.8568271537351,56171,0.0
7424,10561,,Denmark,2020-04-05,4369.0,179.0,Denmark,292.0,55.670249,10.3333283,5792202,5.0412606466418125e-05
7499,10668,,Diamond Princess,2020-04-05,712.0,11.0,Diamond Princess,0.0,53.8953584,27.5554078,3770,0.0
7574,10775,,Djibouti,2020-04-05,59.0,0.0,Djibouti,9.0,11.8145966,42.8453061,988000,9.109311740890689e-06
7124,10133,,Cyprus,2020-04-05,446.0,9.0,Cyprus,20.0,34.9823018,33.1451285,1207359,1.656508130556032e-05
7649,10882,,Dominica,2020-04-05,14.0,0.0,Dominica,0.0,19.0974031,-70.3028026,73925,0.0
7799,11096,,Ecuador,2020-04-05,3646.0,180.0,Ecuador,181.0,-1.3397668,-79.3666965,17643054,1.0258994842956327e-05
6599,9384,,Colombia,2020-04-05,1485.0,35.0,Colombia,79.0,2.8894434,-73.783892,50882891,1.552584738158844e-06
6674,9491,,Congo (Brazzaville),2020-04-05,45.0,5.0,Congo (Brazzaville),23.0,-0.7264327,15.6419155,5518087,4.168111158812828e-06
6749,9598,,Congo (Kinshasa),2020-04-05,154.0,18.0,Congo (Kinshasa),0.0,-2.9814344,23.8222636,89561403,0.0
10949,15590,,Italy,2020-04-05,128948.0,15887.0,Italy,4316.0,42.6384261,12.674297,60461826,7.138388443643762e-05
9899,14092,,Guinea,2020-04-05,121.0,0.0,Guinea,10.0,10.7226226,-10.7083587,13132795,7.614525316202681e-07
5699,8100,Ningxia,China,2020-04-05,75.0,0.0,Ningxia China,0.0,37.0000001,105.9999999,6301000,0.0
9824,13985,,Guatemala,2020-04-05,61.0,2.0,Guatemala,0.0,15.6356088,-89.8988087,17915568,0.0
9674,13771,,Greece,2020-04-05,1735.0,73.0,Greece,62.0,38.9953683,21.9877132,10423054,5.948352565380549e-06
8549,12166,French Guiana,France,2020-04-05,61.0,0.0,French Guiana France,0.0,4.0039882,-52.999998,290691,0.0
8624,12273,French Polynesia,France,2020-04-05,41.0,0.0,French Polynesia France,1.0,-16.03442485,-146.0490931059517,283007,3.5334815039910676e-06
8699,12380,Guadeloupe,France,2020-04-05,135.0,7.0,Guadeloupe France,1.0,16.2490067,-61.5650444,395700,2.5271670457417234e-06
8774,12487,Martinique,France,2020-04-05,149.0,4.0,Martinique France,4.0,14.6113732,-60.9620777,375554,1.0650931690249605e-05
8849,12594,Mayotte,France,2020-04-05,147.0,2.0,Mayotte France,13.0,-12.823048,45.1520755,270372,4.80819019720977e-05
8924,12701,New Caledonia,France,2020-04-05,18.0,0.0,New Caledonia France,1.0,-20.454288599999998,164.55660583077983,271407,3.684503347371291e-06
8999,12808,Reunion,France,2020-04-05,344.0,0.0,Reunion France,10.0,-21.1309332,55.5265771,859959,1.1628461356878642e-05
9074,12915,Saint Barthelemy,France,2020-04-05,6.0,0.0,Saint Barthelemy France,0.0,17.9036287,-62.811568843006896,9131,0.0
9149,13022,St Martin,France,2020-04-05,32.0,2.0,St Martin France,8.0,18.085493,-63.05129209796061,32125,0.0002490272373540856
9224,13129,,France,2020-04-05,92839.0,8078.0,France,2886.0,46.603354,1.8883335,65273511,4.421395380432347e-05
9299,13236,,Gabon,2020-04-05,21.0,1.0,Gabon,0.0,-0.8999695,11.6899699,2225734,0.0
11024,15697,,Jamaica,2020-04-05,58.0,3.0,Jamaica,5.0,18.1152958,-77.1598454610168,2961167,1.6885234773992822e-06
10874,15483,,Israel,2020-04-05,8430.0,49.0,Israel,579.0,31.5313113,34.8667654,8655535,6.689361200665239e-05
6824,9705,,Costa Rica,2020-04-05,454.0,2.0,Costa Rica,19.0,10.2735633,-84.0739102,5094118,3.729791889390862e-06
10799,15376,,Ireland,2020-04-05,4994.0,158.0,Ireland,390.0,52.865196,-7.9794599,4937786,7.898276677037037e-05
8249,11738,,Eswatini,2020-04-05,9.0,0.0,Eswatini,0.0,-26.5624806,31.3991317,1160164,0.0
8324,11845,,Ethiopia,2020-04-05,43.0,2.0,Ethiopia,5.0,10.2116702,38.6521203,114963588,4.349203158133861e-08
8399,11952,,Fiji,2020-04-05,12.0,0.0,Fiji,0.0,-18.1239696,179.0122737,905502,0.0
8474,12059,,Finland,2020-04-05,1927.0,28.0,Finland,45.0,63.2467777,25.9209164,5540720,8.121688156051922e-06
9974,14199,,Guinea-Bissau,2020-04-05,18.0,0.0,Guinea-Bissau,0.0,12.100035,-14.9000214,1861000,0.0
10049,14306,,Guyana,2020-04-05,24.0,4.0,Guyana,1.0,4.8417097,-58.6416891,786552,1.2713717592733856e-06
10124,14413,,Haiti,2020-04-05,21.0,1.0,Haiti,1.0,19.1399952,-72.3570972,10980000,9.107468123861566e-08
10199,14520,,Holy See,2020-04-05,7.0,0.0,Holy See,0.0,38.9247244,-77.06572732690151,801,0.0
10274,14627,,Honduras,2020-04-05,268.0,22.0,Honduras,4.0,15.2572432,-86.0755145,9904607,4.038524698657907e-07
10349,14734,,Hungary,2020-04-05,733.0,34.0,Hungary,55.0,47.1817585,19.5060937,9660351,5.6933749094623994e-06
10424,14841,,Iceland,2020-04-05,1486.0,4.0,Iceland,69.0,64.9841821,-18.1059013,341243,0.00020220194993010845
10499,14948,,India,2020-04-05,3588.0,99.0,India,506.0,22.3511148,78.6677428,1380004385,3.6666550157375044e-07
10574,15055,,Indonesia,2020-04-05,2273.0,198.0,Indonesia,181.0,-2.4833826,117.8902853,273523615,6.617344538971525e-07
10649,15162,,Iran,2020-04-05,58226.0,3603.0,Iran,2483.0,32.6475314,54.5643516,83992949,2.9562005258322338e-05
10724,15269,,Iraq,2020-04-05,961.0,61.0,Iraq,83.0,33.0955793,44.1749775,40222493,2.0635220198807666e-06
3899,5532,,Central African Republic,2020-04-05,8.0,0.0,Central African Republic,0.0,7.0323598,19.9981227,37742154,0.0
9749,13878,,Grenada,2020-04-05,12.0,0.0,Grenada,0.0,12.1360374,-61.6904045,107825,0.0
4124,5853,Anhui,China,2020-04-05,990.0,6.0,Anhui China,0.0,32.0,117.0,62000000,0.0
11924,16981,,Liberia,2020-04-05,13.0,3.0,Liberia,3.0,5.7499721,-9.3658524,5057681,5.93157219682301e-07
12599,17944,,Mali,2020-04-05,45.0,5.0,Mali,4.0,16.3700359,-2.2900239,18540000,2.157497303128371e-07
11399,16232,,"Korea, South",2020-04-05,10237.0,183.0,"Korea, South",81.0,35.7724185,127.79654346305617,51269185,1.5798963841535613e-06
11549,16446,,Kuwait,2020-04-05,556.0,1.0,Kuwait,77.0,29.2733964,47.4979476,4270571,1.8030375797522158e-05
11624,16553,,Kyrgyzstan,2020-04-05,147.0,1.0,Kyrgyzstan,3.0,41.5089324,74.724091,6524195,4.5982684453790853e-07
11699,16660,,Laos,2020-04-05,11.0,0.0,Laos,1.0,20.0171109,103.378253,6858000,1.458151064450277e-07
11774,16767,,Latvia,2020-04-05,533.0,1.0,Latvia,24.0,56.8406494,24.7537645,1886198,1.272400882622079e-05
11849,16874,,Lebanon,2020-04-05,527.0,18.0,Lebanon,7.0,33.8750629,35.843409,6825445,1.0255741567033357e-06
11999,17088,,Libya,2020-04-05,18.0,1.0,Libya,0.0,26.8234472,18.1236723,6375000,0.0
11249,16018,,Kazakhstan,2020-04-05,584.0,6.0,Kazakhstan,53.0,47.2286086,65.2093197,18776707,2.822646164740175e-06
12074,17195,,Liechtenstein,2020-04-05,77.0,1.0,Liechtenstein,0.0,47.1416307,9.5531527,38128,0.0
12149,17302,,Lithuania,2020-04-05,811.0,13.0,Lithuania,40.0,55.3500003,23.7499997,2722289,1.4693517110049667e-05
12224,17409,,Luxembourg,2020-04-05,2804.0,36.0,Luxembourg,75.0,49.8158683,6.1296751,625978,0.00011981251737281502
12299,17516,,MS Zaandam,2020-04-05,9.0,2.0,MS Zaandam,0.0,52.4387696,4.8185293,2047,0.0
12374,17623,,Madagascar,2020-04-05,72.0,0.0,Madagascar,2.0,-18.9249604,46.4416422,25570000,7.821666014861165e-08
12449,17730,,Malaysia,2020-04-05,3662.0,61.0,Malaysia,179.0,4.5693754,102.2656823,32365999,5.530495134724561e-06
12524,17837,,Maldives,2020-04-05,19.0,0.0,Maldives,0.0,4.7064352,73.3287853,540544,0.0
12749,18158,,Mauritania,2020-04-05,6.0,1.0,Mauritania,0.0,20.2540382,-9.2399263,4649658,0.0
14024,19977,,Niger,2020-04-05,184.0,10.0,Niger,40.0,17.7356214,9.3238432,21480000,1.8621973929236498e-06
12824,18265,,Mauritius,2020-04-05,227.0,7.0,Mauritius,31.0,-20.2759451,57.5703566,1271768,2.4375515031043397e-05
13949,19870,,Nicaragua,2020-04-05,6.0,1.0,Nicaragua,1.0,12.6090157,-85.2936911,6218000,1.608234158893535e-07
16874,24043,,Taiwan*,2020-04-05,363.0,5.0,Taiwan*,8.0,23.9739374,120.9820179,23816775,3.3589770235474784e-07
12899,18372,,Mexico,2020-04-05,1890.0,79.0,Mexico,202.0,19.4326296,-99.1331785,128932753,1.5667081893458058e-06
12974,18479,,Moldova,2020-04-05,864.0,15.0,Moldova,112.0,47.2879608,28.5670941,4033963,2.776426060427426e-05
13049,18586,,Monaco,2020-04-05,73.0,1.0,Monaco,7.0,43.7323492,7.4276832,39242,0.00017838030681412772
13124,18693,,Mongolia,2020-04-05,14.0,0.0,Mongolia,0.0,46.8250388,103.8499736,3278290,0.0
13199,18800,,Montenegro,2020-04-05,214.0,2.0,Montenegro,13.0,42.9868853,19.5180992,628066,2.0698461626644334e-05
13274,18907,,Morocco,2020-04-05,1021.0,70.0,Morocco,102.0,31.1728205,-7.3362482,36910560,2.7634368050769213e-06
13349,19014,,Mozambique,2020-04-05,10.0,0.0,Mozambique,0.0,-19.302233,34.9144977,29670000,0.0
13424,19121,,Namibia,2020-04-05,16.0,0.0,Namibia,2.0,-23.2335499,17.3231107,2540905,7.871211241663895e-07
13499,19228,,Nepal,2020-04-05,9.0,0.0,Nepal,0.0,28.1083929,84.0917139,29136808,0.0
13574,19335,Aruba,Netherlands,2020-04-05,64.0,0.0,Aruba Netherlands,0.0,12.4902998,-69.9609842,105264,0.0
13649,19442,Curacao,Netherlands,2020-04-05,11.0,1.0,Curacao Netherlands,0.0,12.1845,-68.9640875031406,161014,0.0
13724,19549,Sint Maarten,Netherlands,2020-04-05,25.0,4.0,Sint Maarten Netherlands,2.0,18.0423736,-63.0549948,41109,4.8651146950789365e-05
13799,19656,,Netherlands,2020-04-05,17851.0,1766.0,Netherlands,1224.0,52.5001698,5.7480821,17134872,7.143327361885166e-05
13874,19763,,New Zealand,2020-04-05,1039.0,1.0,New Zealand,89.0,-41.5000831,172.8344077,4822233,1.845617994816924e-05
12674,18051,,Malta,2020-04-05,227.0,0.0,Malta,14.0,35.8885993,14.4476911,441543,3.170699116507339e-05
14099,20084,,Nigeria,2020-04-05,232.0,5.0,Nigeria,18.0,9.6000359,7.9999721,206139589,8.731947166150603e-08
17024,24257,,Thailand,2020-04-05,2169.0,23.0,Thailand,102.0,14.8971921,100.83273,69799978,1.461318512163428e-06
14849,21154,,Poland,2020-04-05,4102.0,94.0,Poland,475.0,52.215933,19.134422,37846611,1.2550661405323715e-05
14324,20405,,Oman,2020-04-05,298.0,2.0,Oman,21.0,21.0000287,57.0036901,5106626,4.112304288585066e-06
14399,20512,,Pakistan,2020-04-05,3157.0,47.0,Pakistan,339.0,30.3308401,71.247499,220892340,1.534684271985167e-06
14474,20619,,Panama,2020-04-05,1801.0,46.0,Panama,128.0,8.559559,-81.1308434,4314767,2.9665564791795246e-05
14549,20726,,Papua New Guinea,2020-04-05,1.0,0.0,Papua New Guinea,0.0,-5.6816069,144.2489081,8251000,0.0
14624,20833,,Paraguay,2020-04-05,104.0,3.0,Paraguay,8.0,-23.3165935,-58.1693445,7132538,1.1216203825342396e-06
14699,20940,,Peru,2020-04-05,2281.0,83.0,Peru,535.0,-6.8699697,-75.0458515,32971854,1.6225960481324464e-05
14774,21047,,Philippines,2020-04-05,3246.0,152.0,Philippines,152.0,12.7503486,122.7312101,109581078,1.3871007912515699e-06
14924,21261,,Portugal,2020-04-05,11278.0,295.0,Portugal,754.0,40.0332629,-7.8896263,10196709,7.394542690195435e-05
14249,20298,,Norway,2020-04-05,5687.0,71.0,Norway,137.0,64.5731537,11.52803643954819,5421241,2.527096655544367e-05
14999,21368,,Qatar,2020-04-05,1604.0,4.0,Qatar,279.0,25.3336984,51.2295295,2881053,9.683959302380068e-05
15074,21475,,Romania,2020-04-05,3864.0,151.0,Romania,251.0,45.9852129,24.6859225,19237691,1.3047303857827845e-05
15149,21582,,Russia,2020-04-05,5389.0,45.0,Russia,658.0,64.6863136,97.7453061,145934462,4.508873305059363e-06
15224,21689,,Rwanda,2020-04-05,104.0,0.0,Rwanda,2.0,-1.9646631,30.0644358,12952218,1.544137073665684e-07
15299,21796,,Saint Kitts and Nevis,2020-04-05,10.0,0.0,Saint Kitts and Nevis,1.0,17.250512,-62.6725973,55345,1.8068479537446922e-05
15374,21903,,Saint Lucia,2020-04-05,14.0,0.0,Saint Lucia,0.0,13.8250489,-60.975036,183627,0.0
22574,32175,,Uzbekistan,2020-04-05,342.0,2.0,Uzbekistan,76.0,41.32373,63.9528098,33469203,2.2707442421022097e-06
15449,22010,,Saint Vincent and the Grenadines,2020-04-05,7.0,0.0,Saint Vincent and the Grenadines,0.0,12.90447,-61.2765569,115000,0.0
15599,22224,,Saudi Arabia,2020-04-05,2402.0,34.0,Saudi Arabia,223.0,25.6242618,42.3528328,34813871,6.405492799120212e-06
14174,20191,,North Macedonia,2020-04-05,555.0,18.0,North Macedonia,72.0,41.6171214,21.7168387,2083374,3.455932540196815e-05
15674,22331,,Senegal,2020-04-05,222.0,2.0,Senegal,3.0,14.4750607,-14.4529612,16743927,1.7916943856718918e-07
